"bowler","economy"
"RN ten Doeschate","4.0000000000000000"
"J Yadav","4.1428571428571429"
"V Kohli","5.4545454545454545"
"R Ashwin","5.8461538461538462"
"S Nadeem","6.1428571428571429"
"Parvez Rasool","6.2000000000000000"
"MC Henriques","6.3200000000000000"
"Z Khan","6.4551724137931034"
"MA Starc","6.7674418604651163"
"GB Hogg","6.8571428571428571"
"Sandeep Sharma","7.0000000000000000"
"M Vijay","7.0000000000000000"
"Bipul Sharma","7.1428571428571429"
"IC Pandey","7.1935483870967742"
"DJ Muthuswami","7.2142857142857143"
"A Nehra","7.2419354838709677"
"SP Narine","7.3125000000000000"
"S Aravind","7.3333333333333333"
"Gurkeerat Singh","7.3333333333333333"
"M Morkel","7.3571428571428571"
"STR Binny","7.3684210526315789"
"SL Malinga","7.4000000000000000"
"JP Duminy","7.4117647058823529"
"HV Patel","7.4828897338403042"
"M de Lange","7.5000000000000000"
"CH Gayle","7.5000000000000000"
"NM Coulter-Nile","7.5529411764705882"
"CH Morris","7.5581395348837209"
"PP Chawla","7.6857142857142857"
"A Mishra","7.7178423236514523"
"RA Jadeja","7.7343750000000000"
"SK Raina","7.7500000000000000"
"PV Tambe","7.8235294117647059"
"Harbhajan Singh","7.8245614035087719"
"B Kumar","7.8774193548387097"
"Iqbal Abdulla","7.8947368421052632"
"DS Kulkarni","7.9142857142857143"
"AD Russell","7.9672131147540984"
"RS Bopara","8.0000000000000000"
"Yuvraj Singh","8.0000000000000000"
"J Botha","8.1000000000000000"
"DJ Bravo","8.1401273885350318"
"Ankit Sharma","8.1428571428571429"
"AD Mathews","8.2000000000000000"
"MJ McClenaghan","8.2127659574468085"
"CJ Anderson","8.2500000000000000"
"A Ashish Reddy","8.3333333333333333"
"DJG Sammy","8.3333333333333333"
"KV Sharma","8.3347280334728033"
"D Wiese","8.3385826771653543"
"BE Hendricks","8.3846153846153846"
"P Negi","8.4000000000000000"
"AR Patel","8.4000000000000000"
"TA Boult","8.4285714285714286"
"MM Sharma","8.4385964912280702"
"R Vinay Kumar","8.4597701149425287"
"DR Smith","8.5000000000000000"
"DJ Hooda","8.5054945054945055"
"J Suchith","8.6410256410256410"
"Shakib Al Hasan","8.7857142857142857"
"TG Southee","8.8214285714285714"
"Imran Tahir","8.8450704225352113"
"YS Chahal","8.8612099644128114"
"DW Steyn","8.9473684210526316"
"Anureet Singh","9.0000000000000000"
"JA Morkel","9.0833333333333333"
"UT Yadav","9.0952380952380952"
"P Kumar","9.1388888888888889"
"R Dhawan","9.1666666666666667"
"NLTC Perera","9.1666666666666667"
"R Bhatia","9.2000000000000000"
"SR Watson","9.2758620689655172"
"MG Johnson","9.4128440366972477"
"JP Faulkner","9.4666666666666667"
"KA Pollard","9.4736842105263158"
"P Suyal","9.5000000000000000"
"PJ Cummins","9.7000000000000000"
"GJ Maxwell","9.7000000000000000"
"YK Pathan","9.7000000000000000"
"JD Unadkat","10.0000000000000000"
"J Theron","10.0000000000000000"
"RG More","10.1142857142857143"
"VR Aaron","10.2115384615384615"
"GS Sandhu","10.2500000000000000"
"R Tewatia","10.3333333333333333"
"HH Pandya","10.3529411764705882"
"S Gopal","10.6153846153846154"
"AN Ahmed","10.6666666666666667"
"Karanveer Singh","11.2142857142857143"
"I Sharma","11.3571428571428571"
"SA Abbott","11.4000000000000000"
"PP Ojha","11.5000000000000000"
"BB Sran","11.6666666666666667"
"JJ Bumrah","12.2666666666666667"
"AB Dinda","12.4000000000000000"
"SN Thakur","12.6666666666666667"
"Azhar Mahmood","13.6666666666666667"
"KC Cariappa","14.0000000000000000"
"Shivam Sharma","14.6666666666666667"
